States          	 S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S40
Inital State    	 S0
Input  Alphabet 	 pickup, hold, drop, l4, k3, h2, h1, l3, l6, b2, k1, k2, l5, l1, l2, r1
Output Alphabet 	 object_recognized

true_ins                                 s    s'    true_outs
hold l6 - - - - - - -                    S2   S1    object_recognized
hold l3 - - - - - - - -                  S2   S1    object_recognized
hold h1 - - - - - - - - -                S2   S1    object_recognized
hold h2 - - - - - - - - - -              S2   S1    object_recognized
hold k3 - - - - - - - - - - -            S2   S1    object_recognized
hold l4 r1                               S2   S1    object_recognized
hold l4 l2 -                             S2   S1    object_recognized
hold l4 l1 - -                           S2   S1    object_recognized
hold l4 l5 - - -                         S2   S1    object_recognized
hold l4 k2 - - - -                       S2   S1    object_recognized
hold l4 k1 - - - - -                     S2   S1    object_recognized
hold l4 b2 - - - - - -                   S2   S1    object_recognized
hold l4 l6 - - - - - - -                 S2   S1    object_recognized
hold l4 l3 - - - - - - - -               S2   S1    object_recognized
hold l4 h1 - - - - - - - - -             S2   S1    object_recognized
hold l4 h2 - - - - - - - - - -           S2   S1    object_recognized
hold l4 k3 - - - - - - - - - - -         S2   S1    object_recognized
hold drop - - - - - - - - - - - - -      S2   S1    object_recognized
pickup - - - - - - - - - - - - - - -     S2   S1    object_recognized
hold l4                                  S2   S2    object_recognized
hold l5                                  S2   S11   object_recognized
hold l1                                  S2   S12   object_recognized
- - - - - - - - - - - - -                S3   S1    object_recognized
drop - - - -                             S3   S1    object_recognized
drop k2 r1                               S3   S1    object_recognized
drop k2 l2 -                             S3   S1    object_recognized
drop k2 l1 - -                           S3   S1    object_recognized
drop k2 l5 - - -                         S3   S1    object_recognized
drop k1 r1                               S3   S1    object_recognized
drop k1 l2 -                             S3   S1    object_recognized
drop k1 l1 - -                           S3   S1    object_recognized
drop k1 l5 - - -                         S3   S1    object_recognized
drop k1 k2 - - - -                       S3   S1    object_recognized
drop b2 - - - - - -                      S3   S1    object_recognized
drop l6 - - - - - - -                    S3   S1    object_recognized
drop l3 - - - - - - - -                  S3   S1    object_recognized
drop h1 - - - - - - - - -                S3   S1    object_recognized
drop h2 - - - - - - - - - -              S3   S1    object_recognized
drop k3 r1                               S3   S1    object_recognized
drop k3 l2 -                             S3   S1    object_recognized
drop k3 l1 - -                           S3   S1    object_recognized
drop k3 l5 - - -                         S3   S1    object_recognized
drop k3 k2 - - - -                       S3   S1    object_recognized
drop k3 k1 - - - - -                     S3   S1    object_recognized
drop k3 b2 - - - - - -                   S3   S1    object_recognized
drop k3 l6 - - - - - - -                 S3   S1    object_recognized
drop k3 l3 - - - - - - - -               S3   S1    object_recognized
drop k3 h1 - - - - - - - - -             S3   S1    object_recognized
drop k3 h2 - - - - - - - - - -           S3   S1    object_recognized
drop l4 - - - - - - - - - - - -          S3   S1    object_recognized
hold - - - - - - - - - - - - - -         S3   S1    object_recognized
pickup - - - - - - - - - - - - - - -     S3   S1    object_recognized
drop k3                                  S3   S18   object_recognized
drop k1                                  S3   S30   object_recognized
drop k2                                  S3   S32   object_recognized
- - - - - - - - - - - - - -              S4   S1    object_recognized
hold - - - - - - - -                     S4   S1    object_recognized
hold l3 r1                               S4   S1    object_recognized
hold l3 l2 -                             S4   S1    object_recognized
hold l3 l1 - -                           S4   S1    object_recognized
hold l3 l5 - - -                         S4   S1    object_recognized
hold l3 k2 - - - -                       S4   S1    object_recognized
hold l3 k1 - - - - -                     S4   S1    object_recognized
hold l3 b2 - - - - - -                   S4   S1    object_recognized
hold l3 l6 - - - - - - -                 S4   S1    object_recognized
hold h1 r1                               S4   S1    object_recognized
hold h1 l2 -                             S4   S1    object_recognized
hold h1 l1 - -                           S4   S1    object_recognized
hold h1 l5 - - -                         S4   S1    object_recognized
hold h1 k2 - - - -                       S4   S1    object_recognized
hold h1 k1 - - - - -                     S4   S1    object_recognized
hold h1 b2 - - - - - -                   S4   S1    object_recognized
hold h1 l6 - - - - - - -                 S4   S1    object_recognized
hold h1 l3 - - - - - - - -               S4   S1    object_recognized
hold h2 r1                               S4   S1    object_recognized
hold h2 l2 -                             S4   S1    object_recognized
hold h2 l1 - -                           S4   S1    object_recognized
hold h2 l5 - - -                         S4   S1    object_recognized
hold h2 k2 - - - -                       S4   S1    object_recognized
hold h2 k1 - - - - -                     S4   S1    object_recognized
hold h2 b2 - - - - - -                   S4   S1    object_recognized
hold h2 l6 - - - - - - -                 S4   S1    object_recognized
hold h2 l3 - - - - - - - -               S4   S1    object_recognized
hold h2 h1 - - - - - - - - -             S4   S1    object_recognized
hold k3 - - - - - - - - - - -            S4   S1    object_recognized
hold l4 - - - - - - - - - - - -          S4   S1    object_recognized
hold drop - - - - - - - - - - - - -      S4   S1    object_recognized
pickup - - - - - - - - - - - - - - -     S4   S1    object_recognized
hold h2                                  S4   S4    object_recognized
hold h1                                  S4   S5    object_recognized
hold l3                                  S4   S6    object_recognized
- - - - - - - - - - - - - -              S5   S1    object_recognized
hold -                                   S5   S1    object_recognized
hold l2 r1                               S5   S1    object_recognized
hold l1 - -                              S5   S1    object_recognized
hold l5 - - -                            S5   S1    object_recognized
hold k2 - - - -                          S5   S1    object_recognized
hold k1 - - - - -                        S5   S1    object_recognized
hold b2 - - - - - -                      S5   S1    object_recognized
hold l6 - - - - - - -                    S5   S1    object_recognized
hold l3 - - - - - - - -                  S5   S1    object_recognized
hold h1 r1                               S5   S1    object_recognized
hold h1 l2 -                             S5   S1    object_recognized
hold h1 l1 - -                           S5   S1    object_recognized
hold h1 l5 - - -                         S5   S1    object_recognized
hold h1 k2 - - - -                       S5   S1    object_recognized
hold h1 k1 - - - - -                     S5   S1    object_recognized
hold h1 b2 - - - - - -                   S5   S1    object_recognized
hold h1 l6 - - - - - - -                 S5   S1    object_recognized
hold h1 l3 - - - - - - - -               S5   S1    object_recognized
hold h2 r1                               S5   S1    object_recognized
hold h2 l2 -                             S5   S1    object_recognized
hold h2 l1 - -                           S5   S1    object_recognized
hold h2 l5 - - -                         S5   S1    object_recognized
hold h2 k2 - - - -                       S5   S1    object_recognized
hold h2 k1 - - - - -                     S5   S1    object_recognized
hold h2 b2 - - - - - -                   S5   S1    object_recognized
hold h2 l6 - - - - - - -                 S5   S1    object_recognized
hold h2 l3 - - - - - - - -               S5   S1    object_recognized
hold h2 h1 - - - - - - - - -             S5   S1    object_recognized
hold k3 - - - - - - - - - - -            S5   S1    object_recognized
hold l4 - - - - - - - - - - - -          S5   S1    object_recognized
hold drop - - - - - - - - - - - - -      S5   S1    object_recognized
pickup - - - - - - - - - - - - - - -     S5   S1    object_recognized
hold h2                                  S5   S4    object_recognized
hold h1                                  S5   S5    object_recognized
hold l2                                  S5   S13   object_recognized
- - - - - - - - - - - - - -              S6   S1    object_recognized
hold                                     S6   S1    object_recognized
hold l2 r1                               S6   S1    object_recognized
hold l1 - -                              S6   S1    object_recognized
hold l5 - - -                            S6   S1    object_recognized
hold k2 - - - -                          S6   S1    object_recognized
hold k1 r1                               S6   S1    object_recognized
hold k1 l2 -                             S6   S1    object_recognized
hold k1 l1 - -                           S6   S1    object_recognized
hold k1 l5 - - -                         S6   S1    object_recognized
hold k1 k2 - - - -                       S6   S1    object_recognized
hold b2 - - - - - -                      S6   S1    object_recognized
hold l6 r1                               S6   S1    object_recognized
hold l6 l2 -                             S6   S1    object_recognized
hold l6 l1 - -                           S6   S1    object_recognized
hold l6 l5 - - -                         S6   S1    object_recognized
hold l6 k2 - - - -                       S6   S1    object_recognized
hold l6 k1 - - - - -                     S6   S1    object_recognized
hold l6 b2 - - - - - -                   S6   S1    object_recognized
hold l3 r1                               S6   S1    object_recognized
hold l3 l2 -                             S6   S1    object_recognized
hold l3 l1 - -                           S6   S1    object_recognized
hold l3 l5 - - -                         S6   S1    object_recognized
hold l3 k2 - - - -                       S6   S1    object_recognized
hold l3 k1 - - - - -                     S6   S1    object_recognized
hold l3 b2 - - - - - -                   S6   S1    object_recognized
hold l3 l6 - - - - - - -                 S6   S1    object_recognized
hold h1 - - - - - - - - -                S6   S1    object_recognized
hold h2 r1                               S6   S1    object_recognized
hold h2 l2 -                             S6   S1    object_recognized
hold h2 l1 - -                           S6   S1    object_recognized
hold h2 l5 - - -                         S6   S1    object_recognized
hold h2 k2 - - - -                       S6   S1    object_recognized
hold h2 k1 - - - - -                     S6   S1    object_recognized
hold h2 b2 - - - - - -                   S6   S1    object_recognized
hold h2 l6 - - - - - - -                 S6   S1    object_recognized
hold h2 l3 - - - - - - - -               S6   S1    object_recognized
hold h2 h1 - - - - - - - - -             S6   S1    object_recognized
hold k3 - - - - - - - - - - -            S6   S1    object_recognized
hold l4 - - - - - - - - - - - -          S6   S1    object_recognized
hold drop - - - - - - - - - - - - -      S6   S1    object_recognized
pickup - - - - - - - - - - - - - - -     S6   S1    object_recognized
hold h2                                  S6   S4    object_recognized
hold l3                                  S6   S6    object_recognized
hold l6                                  S6   S7    object_recognized
hold k1                                  S6   S9    object_recognized
hold l2                                  S6   S13   object_recognized
hold r1                                  S6   S14   object_recognized
- - - - - - - - - - - - - -              S7   S1    object_recognized
hold - - -                               S7   S1    object_recognized
hold l5 r1                               S7   S1    object_recognized
hold l5 l2 -                             S7   S1    object_recognized
hold l5 l1 - -                           S7   S1    object_recognized
hold k2 - - - -                          S7   S1    object_recognized
hold k1 - - - - -                        S7   S1    object_recognized
hold b2 - - - - - -                      S7   S1    object_recognized
hold l6 r1                               S7   S1    object_recognized
hold l6 l2 -                             S7   S1    object_recognized
hold l6 l1 - -                           S7   S1    object_recognized
hold l6 l5 - - -                         S7   S1    object_recognized
hold l6 k2 - - - -                       S7   S1    object_recognized
hold l6 k1 - - - - -                     S7   S1    object_recognized
hold l6 b2 - - - - - -                   S7   S1    object_recognized
hold l3 r1                               S7   S1    object_recognized
hold l3 l2 -                             S7   S1    object_recognized
hold l3 l1 - -                           S7   S1    object_recognized
hold l3 l5 - - -                         S7   S1    object_recognized
hold l3 k2 - - - -                       S7   S1    object_recognized
hold l3 k1 - - - - -                     S7   S1    object_recognized
hold l3 b2 - - - - - -                   S7   S1    object_recognized
hold l3 l6 - - - - - - -                 S7   S1    object_recognized
hold h1 - - - - - - - - -                S7   S1    object_recognized
hold h2 - - - - - - - - - -              S7   S1    object_recognized
hold k3 - - - - - - - - - - -            S7   S1    object_recognized
hold l4 - - - - - - - - - - - -          S7   S1    object_recognized
hold drop - - - - - - - - - - - - -      S7   S1    object_recognized
pickup - - - - - - - - - - - - - - -     S7   S1    object_recognized
hold l3                                  S7   S6    object_recognized
hold l6                                  S7   S7    object_recognized
hold l5                                  S7   S11   object_recognized
- - - - - - - - - - - - - -              S8   S1    object_recognized
hold -                                   S8   S1    object_recognized
hold l2 r1                               S8   S1    object_recognized
hold l1 - -                              S8   S1    object_recognized
hold l5 - - -                            S8   S1    object_recognized
hold k2 - - - -                          S8   S1    object_recognized
hold k1 - - - - -                        S8   S1    object_recognized
hold b2 r1                               S8   S1    object_recognized
hold b2 l2 -                             S8   S1    object_recognized
hold b2 l1 - -                           S8   S1    object_recognized
hold b2 l5 - - -                         S8   S1    object_recognized
hold b2 k2 - - - -                       S8   S1    object_recognized
hold b2 k1 - - - - -                     S8   S1    object_recognized
hold l6 - - - - - - -                    S8   S1    object_recognized
hold l3 - - - - - - - -                  S8   S1    object_recognized
hold h1 - - - - - - - - -                S8   S1    object_recognized
hold h2 - - - - - - - - - -              S8   S1    object_recognized
hold k3 - - - - - - - - - - -            S8   S1    object_recognized
hold l4 - - - - - - - - - - - -          S8   S1    object_recognized
hold drop - - - - - - - - - - - - -      S8   S1    object_recognized
pickup - - - - - - - - - - - - - - -     S8   S1    object_recognized
hold b2                                  S8   S8    object_recognized
hold l2                                  S8   S13   object_recognized
- - - - - - - - - - - - - -              S9   S1    object_recognized
hold - - - -                             S9   S1    object_recognized
hold k2 r1                               S9   S1    object_recognized
hold k2 l2 -                             S9   S1    object_recognized
hold k2 l1 - -                           S9   S1    object_recognized
hold k2 l5 - - -                         S9   S1    object_recognized
hold k1 r1                               S9   S1    object_recognized
hold k1 l2 -                             S9   S1    object_recognized
hold k1 l1 - -                           S9   S1    object_recognized
hold k1 l5 - - -                         S9   S1    object_recognized
hold k1 k2 - - - -                       S9   S1    object_recognized
hold b2 - - - - - -                      S9   S1    object_recognized
hold l6 - - - - - - -                    S9   S1    object_recognized
