States          	 S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S40
Inital State    	 S0
Input  Alphabet 	 pickup, hold, drop, l4, k3, h2, h1, l3, l6, b2, k1, k2, l5, l1, l2, r1
Output Alphabet 	 object_recognized

true_ins                                 s    s'    true_outs
pickup l6 k1 - - - - -                   S34  S1    object_recognized
pickup l6 b2 - - - - - -                 S34  S1    object_recognized
pickup l3 - - - - - - - -                S34  S1    object_recognized
pickup h1 - - - - - - - - -              S34  S1    object_recognized
pickup h2 - - - - - - - - - -            S34  S1    object_recognized
pickup k3 - - - - - - - - - - -          S34  S1    object_recognized
pickup l4 r1                             S34  S1    object_recognized
pickup l4 l2 -                           S34  S1    object_recognized
pickup l4 l1 - -                         S34  S1    object_recognized
pickup l4 l5 - - -                       S34  S1    object_recognized
pickup l4 k2 - - - -                     S34  S1    object_recognized
pickup l4 k1 - - - - -                   S34  S1    object_recognized
pickup l4 b2 - - - - - -                 S34  S1    object_recognized
pickup l4 l6 - - - - - - -               S34  S1    object_recognized
pickup l4 l3 - - - - - - - -             S34  S1    object_recognized
pickup l4 h1 - - - - - - - - -           S34  S1    object_recognized
pickup l4 h2 - - - - - - - - - -         S34  S1    object_recognized
pickup l4 k3 - - - - - - - - - - -       S34  S1    object_recognized
pickup drop - - - - - - - - - - - - -    S34  S1    object_recognized
pickup hold - - - - - - - - - - - - - -  S34  S1    object_recognized
pickup l4                                S34  S15   object_recognized
pickup l6                                S34  S25   object_recognized
pickup l5                                S34  S33   object_recognized
pickup l2                                S34  S37   object_recognized
- - - - - - - - - - - - - - - -          S35  S1
- - - - - - - - - - - - - - -            S36  S1    object_recognized
pickup -                                 S36  S1    object_recognized
pickup l2 r1                             S36  S1    object_recognized
pickup l1 r1                             S36  S1    object_recognized
pickup l1 l2 -                           S36  S1    object_recognized
pickup l5 - - -                          S36  S1    object_recognized
pickup k2 - - - -                        S36  S1    object_recognized
pickup k1 - - - - -                      S36  S1    object_recognized
pickup b2 - - - - - -                    S36  S1    object_recognized
pickup l6 - - - - - - -                  S36  S1    object_recognized
pickup l3 - - - - - - - -                S36  S1    object_recognized
pickup h1 - - - - - - - - -              S36  S1    object_recognized
pickup h2 - - - - - - - - - -            S36  S1    object_recognized
pickup k3 - - - - - - - - - - -          S36  S1    object_recognized
pickup l4 r1                             S36  S1    object_recognized
pickup l4 l2 -                           S36  S1    object_recognized
pickup l4 l1 - -                         S36  S1    object_recognized
pickup l4 l5 - - -                       S36  S1    object_recognized
pickup l4 k2 - - - -                     S36  S1    object_recognized
pickup l4 k1 - - - - -                   S36  S1    object_recognized
pickup l4 b2 - - - - - -                 S36  S1    object_recognized
pickup l4 l6 - - - - - - -               S36  S1    object_recognized
pickup l4 l3 - - - - - - - -             S36  S1    object_recognized
pickup l4 h1 - - - - - - - - -           S36  S1    object_recognized
pickup l4 h2 - - - - - - - - - -         S36  S1    object_recognized
pickup l4 k3 - - - - - - - - - - -       S36  S1    object_recognized
pickup drop - - - - - - - - - - - - -    S36  S1    object_recognized
pickup hold - - - - - - - - - - - - - -  S36  S1    object_recognized
pickup l4                                S36  S15   object_recognized
pickup l1                                S36  S35   object_recognized
pickup l2                                S36  S37   object_recognized
- - - - - - - - - - - - - - - -          S37  S1
- - - - - - - - - - - - - - -            S38  S1    object_recognized
pickup -                                 S38  S1    object_recognized
pickup l2 r1                             S38  S1    object_recognized
pickup l1 r1                             S38  S1    object_recognized
pickup l1 l2 -                           S38  S1    object_recognized
pickup l5 r1                             S38  S1    object_recognized
pickup l5 l2 -                           S38  S1    object_recognized
pickup l5 l1 - -                         S38  S1    object_recognized
pickup k2 - - - -                        S38  S1    object_recognized
pickup k1 - - - - -                      S38  S1    object_recognized
pickup b2 r1                             S38  S1    object_recognized
pickup b2 l2 -                           S38  S1    object_recognized
pickup b2 l1 - -                         S38  S1    object_recognized
pickup b2 l5 - - -                       S38  S1    object_recognized
pickup b2 k2 - - - -                     S38  S1    object_recognized
pickup b2 k1 - - - - -                   S38  S1    object_recognized
pickup l6 - - - - - - -                  S38  S1    object_recognized
pickup l3 r1                             S38  S1    object_recognized
pickup l3 l2 -                           S38  S1    object_recognized
pickup l3 l1 - -                         S38  S1    object_recognized
pickup l3 l5 - - -                       S38  S1    object_recognized
pickup l3 k2 - - - -                     S38  S1    object_recognized
pickup l3 k1 - - - - -                   S38  S1    object_recognized
pickup l3 b2 - - - - - -                 S38  S1    object_recognized
pickup l3 l6 - - - - - - -               S38  S1    object_recognized
pickup h1 r1                             S38  S1    object_recognized
pickup h1 l2 -                           S38  S1    object_recognized
pickup h1 l1 - -                         S38  S1    object_recognized
pickup h1 l5 - - -                       S38  S1    object_recognized
pickup h1 k2 - - - -                     S38  S1    object_recognized
pickup h1 k1 - - - - -                   S38  S1    object_recognized
pickup h1 b2 - - - - - -                 S38  S1    object_recognized
pickup h1 l6 - - - - - - -               S38  S1    object_recognized
pickup h1 l3 - - - - - - - -             S38  S1    object_recognized
pickup h2 - - - - - - - - - -            S38  S1    object_recognized
pickup k3 - - - - - - - - - - -          S38  S1    object_recognized
pickup l4 - - - - - - - - - - - -        S38  S1    object_recognized
pickup drop - - - - - - - - - - - - -    S38  S1    object_recognized
pickup hold - - - - - - - - - - - - - -  S38  S1    object_recognized
pickup h1                                S38  S21   object_recognized
pickup l3                                S38  S23   object_recognized
pickup b2                                S38  S27   object_recognized
pickup l5                                S38  S33   object_recognized
pickup l1                                S38  S35   object_recognized
pickup l2                                S38  S37   object_recognized
- - - - - - - - - - - - - - - -          S39  S1
- - - - - - - - - - - - - - -            S40  S1    object_recognized
pickup                                   S40  S1    object_recognized
pickup l2 -                              S40  S1    object_recognized
pickup l1 - -                            S40  S1    object_recognized
pickup l5 - - -                          S40  S1    object_recognized
pickup k2 - - - -                        S40  S1    object_recognized
pickup k1 - - - - -                      S40  S1    object_recognized
pickup b2 - - - - - -                    S40  S1    object_recognized
pickup l6 - - - - - - -                  S40  S1    object_recognized
pickup l3 r1                             S40  S1    object_recognized
pickup l3 l2 -                           S40  S1    object_recognized
pickup l3 l1 - -                         S40  S1    object_recognized
pickup l3 l5 - - -                       S40  S1    object_recognized
pickup l3 k2 - - - -                     S40  S1    object_recognized
pickup l3 k1 - - - - -                   S40  S1    object_recognized
pickup l3 b2 - - - - - -                 S40  S1    object_recognized
pickup l3 l6 - - - - - - -               S40  S1    object_recognized
pickup h1 - - - - - - - - -              S40  S1    object_recognized
pickup h2 - - - - - - - - - -            S40  S1    object_recognized
pickup k3 - - - - - - - - - - -          S40  S1    object_recognized
pickup l4 - - - - - - - - - - - -        S40  S1    object_recognized
pickup drop - - - - - - - - - - - - -    S40  S1    object_recognized
pickup hold - - - - - - - - - - - - - -  S40  S1    object_recognized
pickup l3                                S40  S23   object_recognized
pickup r1                                S40  S39   object_recognized
